encoding,ansatz,optimizer,test_accuracy,test_precision,test_recall,test_f1,final_cost,training_time,iterations,success
ZFeatureMap,RealAmplitudes,COBYLA,0.6966292134831461,0.7063511036735994,0.6966292134831461,0.6971656781807887,0.6104772760624956,92.25700807571411,130,True
ZFeatureMap,RealAmplitudes,L_BFGS_B,0.4943820224719101,0.4119719232078783,0.4943820224719101,0.4083559284104688,0.727171894142494,239.90406799316406,338,True
ZFeatureMap,RealAmplitudes,SLSQP,0.48314606741573035,0.5577905240826588,0.48314606741573035,0.40269789881292456,0.6901242464977009,818.8879520893097,1151,True
ZFeatureMap,TwoLocal,COBYLA,0.651685393258427,0.65755873340143,0.651685393258427,0.6525666446353823,0.5990888272253497,86.52177381515503,123,True
ZFeatureMap,TwoLocal,L_BFGS_B,0.5168539325842697,0.5249820702844848,0.5168539325842697,0.5177083022879226,0.7077284632983581,220.11998581886292,312,True
ZFeatureMap,TwoLocal,SLSQP,0.550561797752809,0.303118293144805,0.550561797752809,0.39097866796938613,0.7006384437083343,869.5469927787781,1243,True
ZFeatureMap,EfficientSU2,COBYLA,0.7528089887640449,0.7568007096392667,0.7528089887640449,0.7484041174946411,0.5914862914724147,103.58315992355347,144,True
ZFeatureMap,EfficientSU2,L_BFGS_B,0.6741573033707865,0.6933535093517005,0.6741573033707865,0.6732518417911676,0.6507486676093565,314.21833395957947,442,True
ZFeatureMap,EfficientSU2,SLSQP,0.48314606741573035,0.49205261715538506,0.48314606741573035,0.48366814209510844,0.7362841975757397,1407.4193720817566,1972,True
ZZFeatureMap,RealAmplitudes,COBYLA,0.6853932584269663,0.6930618829597482,0.6853932584269663,0.6861089967166926,0.6456945410462539,90.93936514854431,113,True
ZZFeatureMap,RealAmplitudes,L_BFGS_B,0.43820224719101125,0.44132334581772775,0.43820224719101125,0.3381118429549271,0.7682602449715226,333.3838429450989,416,True
ZZFeatureMap,RealAmplitudes,SLSQP,0.6179775280898876,0.6288024116196219,0.6179775280898876,0.6183634093746454,0.6944421861386028,942.4853608608246,1197,True
ZZFeatureMap,TwoLocal,COBYLA,0.5955056179775281,0.6140064005232544,0.5955056179775281,0.5936651480896604,0.640802347312988,88.88275218009949,116,True
ZZFeatureMap,TwoLocal,L_BFGS_B,0.5393258426966292,0.5343618096427085,0.5393258426966292,0.5351514490382168,0.6918233146879889,338.7769868373871,442,True
ZZFeatureMap,TwoLocal,SLSQP,0.48314606741573035,0.48314606741573035,0.48314606741573035,0.48314606741573035,0.7472555343450226,987.1755931377411,1289,True
ZZFeatureMap,EfficientSU2,COBYLA,0.5955056179775281,0.5938242831136004,0.5955056179775281,0.5943647363872082,0.6818825843279605,111.58521699905396,143,True
ZZFeatureMap,EfficientSU2,L_BFGS_B,0.34831460674157305,0.3552524001962204,0.34831460674157305,0.345349405255564,0.798025306500931,278.7371461391449,357,False
ZZFeatureMap,EfficientSU2,SLSQP,0.5617977528089888,0.5703243286317635,0.5617977528089888,0.5625726462611391,0.6544624808189269,1286.2796359062195,1647,True
PauliFeatureMap,RealAmplitudes,COBYLA,0.5168539325842697,0.5397878474275576,0.5168539325842697,0.5084909613269781,0.6899706481582116,134.71446013450623,113,True
PauliFeatureMap,RealAmplitudes,L_BFGS_B,0.5056179775280899,0.5796133211863549,0.5056179775280899,0.44802138773901046,0.766123053706099,421.03128385543823,351,True
PauliFeatureMap,RealAmplitudes,SLSQP,0.5393258426966292,0.5504700756707177,0.5393258426966292,0.5393258426966292,0.7349137142755765,1253.7155520915985,1059,True
PauliFeatureMap,TwoLocal,COBYLA,0.4606741573033708,0.48667107292355144,0.4606741573033708,0.42272159800249687,0.6829671708038331,133.98787689208984,114,True
PauliFeatureMap,TwoLocal,L_BFGS_B,0.5842696629213483,0.5804351703228108,0.5842696629213483,0.5805025271808298,0.7265788230650894,320.67700695991516,273,False
PauliFeatureMap,TwoLocal,SLSQP,0.47191011235955055,0.4456811797752809,0.47191011235955055,0.44602687756709836,0.7015173090497865,1487.431895017624,1266,True
PauliFeatureMap,EfficientSU2,COBYLA,0.5056179775280899,0.5199140367679693,0.5056179775280899,0.5033685143318071,0.6800644669260535,189.65483283996582,161,True
PauliFeatureMap,EfficientSU2,L_BFGS_B,0.5617977528089888,0.5650696992763091,0.5617977528089888,0.5627980876789239,0.6918321598172111,549.1355590820312,476,True
PauliFeatureMap,EfficientSU2,SLSQP,0.5617977528089888,0.5807068993946247,0.5617977528089888,0.5589152079824318,0.731128037122028,1912.1475489139557,1594,True
